,GPU Utilization (%),Power Draw (Watts),Power Limit (Watts),GPU Temp (°C),GPU Current Clock (GHz),GPU Clock Limit (GHz),Memory Current Clock (GHz),Memory Clock Limit (GHz),Memory Allocation Used (MB),Memory Allocation Total (MB),Memory Utilization (%),GPU Info,Start Time,Current Time,Time Delta,Test Stage,Collect
0,0.0,23.64,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,5242880.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:32:06,11:32:06,0,idle,True
1,0.0,23.64,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,5242880.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:32:06,11:32:12,6,idle,True
2,0.0,23.54,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,5242880.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:32:06,11:32:18,12,idle,True
3,0.0,23.54,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,5242880.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:32:06,11:32:23,17,idle,True
4,0.0,23.54,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,5242880.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:32:06,11:32:29,23,idle,True
5,0.0,23.54,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,5242880.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:32:06,11:32:35,29,idle,True
6,0.0,23.54,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,5242880.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:32:06,11:32:40,34,idle,True
7,0.0,23.54,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,5242880.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:32:06,11:32:46,40,idle,True
8,0.0,23.54,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,5242880.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:32:06,11:32:52,46,idle,True
9,0.0,23.54,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,5242880.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:32:06,11:32:58,52,idle,True
10,0.0,23.54,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,5242880.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:34:26,11:34:27,0,background,True
11,0.0,23.54,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,9437184.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:34:26,11:34:33,6,background,True
12,0.0,23.54,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,9437184.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:34:26,11:34:39,12,background,True
13,0.0,23.54,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,9437184.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:34:26,11:34:45,18,background,True
14,0.0,23.64,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,9437184.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:34:26,11:34:50,23,background,True
15,0.0,23.64,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,9437184.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:34:26,11:34:56,29,background,True
16,0.0,23.64,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,9437184.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:34:26,11:35:02,35,background,True
17,0.0,23.64,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,9437184.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:34:26,11:35:08,41,background,True
18,0.0,23.64,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,9437184.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:34:26,11:35:14,47,background,True
19,0.0,23.64,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,9437184.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:34:26,11:35:20,53,background,True
20,0.0,23.64,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,9437184.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:38:57,11:38:57,0,download,True
21,0.0,23.64,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,9437184.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:38:57,11:39:03,6,download,True
22,0.0,23.64,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,9437184.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:38:57,11:39:09,12,download,True
23,0.0,23.64,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,9437184.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:38:57,11:39:15,17,download,True
24,0.0,23.54,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,9437184.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:38:57,11:39:20,23,download,True
25,0.0,23.54,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,9437184.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:38:57,11:39:26,29,download,True
26,0.0,23.54,250.0,21.0,135000.0,1380000.0,877000.0,877000.0,6997147648.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:38:57,11:39:32,35,download,True
27,0.0,34.5,250.0,23.0,1245000.0,1380000.0,877000.0,877000.0,6997147648.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:39:47,11:39:48,0,interaction,True
28,0.0,34.5,250.0,23.0,1245000.0,1380000.0,877000.0,877000.0,6997147648.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:39:47,11:39:54,6,interaction,True
29,0.0,34.5,250.0,23.0,1245000.0,1380000.0,877000.0,877000.0,6997147648.0,17179869184.0,0.0,Tesla V100-PCIE-16GB,11:39:47,11:40:00,12,interaction,True
30,0.8200000000000001,174.22,250.0,31.0,1380000.0,1380000.0,877000.0,877000.0,7049576448.0,17179869184.0,0.51,Tesla V100-PCIE-16GB,11:39:47,11:40:05,18,interaction,True
