,GPU Utilization (%),Power Draw (Watts),GPU Temp (°C),GPU Current Clock (GHz),Memory Current Clock (GHz),Memory Allocation Used (MB),Memory Utilization (%),GPU Stress,Current Time,Time Delta,Status,Iteration,Collect
0,0.0,24.37,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:38,1,Live,1,True
1,0.0,24.37,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:40,2,Live,2,True
2,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:41,3,Live,3,True
3,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:43,5,Live,4,True
4,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:44,6,Live,5,True
5,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:46,8,Live,6,True
6,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:47,9,Live,7,True
7,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:49,11,Live,8,True
8,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:50,13,Live,9,True
9,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:52,14,Live,10,True
10,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:53,16,Live,11,True
11,0.0,24.36,24.0,135000.0,877000.0,5242880.0,0.0,Off,13:45:55,17,Live,12,True
12,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.22,On,13:45:56,19,Live,13,True
13,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.22,On,13:45:58,20,Live,14,True
14,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.22,On,13:46:00,22,Live,15,True
15,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.22,On,13:46:01,23,Live,16,True
16,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.22,On,13:46:03,25,Live,17,True
17,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.22,On,13:46:04,27,Live,18,True
18,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.22,On,13:46:06,28,Live,19,True
19,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.22,On,13:46:07,30,Live,20,True
20,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.22,On,13:46:09,31,Live,21,True
21,1.0,246.93,42.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:11,33,Live,22,True
22,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:12,34,Live,23,True
23,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:13,36,Live,24,True
24,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:15,37,Live,25,True
25,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:16,38,Live,26,True
26,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:17,40,Live,27,True
27,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:19,41,Live,28,True
28,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:20,42,Live,29,True
29,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:21,44,Live,30,True
30,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:23,45,Live,31,True
31,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:24,46,Live,32,True
32,1.0,245.97,47.0,1357000.0,877000.0,15159263232.0,0.23,On,13:46:25,48,Live,33,True
33,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:27,49,Live,34,True
34,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:28,50,Live,35,True
35,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:29,52,Live,36,True
36,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:31,53,Live,37,True
37,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:32,54,Live,38,True
38,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:33,55,Live,39,True
39,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:34,57,Live,40,True
40,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:36,58,Live,41,True
41,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:37,59,Live,42,True
42,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:38,60,Live,43,True
43,1.0,252.31,50.0,1365000.0,877000.0,15159263232.0,0.17,On,13:46:39,62,Live,44,True
44,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:41,63,Live,45,True
45,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:42,64,Live,46,True
46,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:43,66,Live,47,True
47,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:45,67,Live,48,True
48,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:46,68,Live,49,True
49,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:47,69,Live,50,True
50,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:48,71,Live,51,True
51,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:50,72,Live,52,True
52,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:51,73,Live,53,True
53,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:52,74,Live,54,True
54,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:53,76,Live,55,True
55,1.0,246.18,52.0,1350000.0,877000.0,15159263232.0,0.21,On,13:46:55,77,Live,56,True
56,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:46:56,78,Live,57,True
57,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:46:57,79,Live,58,True
58,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:46:58,81,Live,59,True
59,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:47:00,82,Live,60,True
60,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:47:02,84,Live,61,True
61,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:47:03,85,Live,62,True
62,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:47:05,87,Live,63,True
63,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:47:06,88,Live,64,True
64,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:47:08,90,Live,65,True
65,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:47:09,91,Live,66,True
66,1.0,252.5,53.0,1357000.0,877000.0,15159263232.0,0.26,On,13:47:10,92,Live,67,True
67,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:12,94,Live,68,True
68,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:13,95,Live,69,True
69,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:14,96,Live,70,True
70,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:15,98,Live,71,True
71,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:17,99,Live,72,True
72,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:18,100,Live,73,True
73,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:19,102,Live,74,True
74,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:21,103,Live,75,True
75,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:22,104,Live,76,True
76,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:23,105,Live,77,True
77,1.0,250.11,54.0,1350000.0,877000.0,15159263232.0,0.23,On,13:47:24,107,Live,78,True
78,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:26,108,Live,79,True
79,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:27,109,Live,80,True
80,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:28,110,Live,81,True
81,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:29,112,Live,82,True
82,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:31,113,Live,83,True
83,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:32,114,Live,84,True
84,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:33,115,Live,85,True
85,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:34,117,Live,86,True
86,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:36,118,Live,87,True
87,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:37,119,Live,88,True
88,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:38,121,Live,89,True
89,1.0,244.45,54.0,1350000.0,877000.0,15159263232.0,0.27,On,13:47:40,122,Live,90,True
90,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:41,123,Live,91,True
91,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:42,124,Live,92,True
92,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:43,126,Live,93,True
93,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:45,127,Live,94,True
94,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:46,128,Live,95,True
95,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:47,130,Live,96,True
96,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:49,131,Live,97,True
97,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:50,132,Live,98,True
98,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:51,133,Live,99,True
99,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:52,135,Live,100,True
100,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:54,136,Live,101,True
101,1.0,242.19,54.0,1342000.0,877000.0,15159263232.0,0.26,On,13:47:55,137,Live,102,True
