,0,1,2,3,4,5,6,7,8,9
0,0.0,1.0747271511868139e-17,9.959560794486058e-18,6.111548669343718e-11,4.272282171670505e-12,0.0,-1.0,9.054146176805508e-19,2.751067492183212e-18,4.428658456046171e-20
1,0.0,1.0747271520569666e-17,9.959560802549817e-18,6.111548674291933e-11,4.272282175129559e-12,0.0,-1.0,1.8108292368272393e-18,9.054146184136196e-19,4.428658459631834e-20
2,0.0,1.0747271530474167e-17,9.959560811728376e-18,6.111548679924231e-11,4.27228217906682e-12,0.0,-1.0,2.6515713849406713e-18,3.039606221761258e-18,4.42865846371321e-20
3,9.05414620155643e-21,4.608334062937184e-17,1.1544036406984449e-17,3.429257873839498e-10,2.013194304398338e-09,9.05414620155643e-21,-1.0,3.621658480622572e-18,1.433573148579768e-18,2.4849694737967377e-19
4,1.8108292414238385e-20,8.141940976751932e-17,1.312851200032283e-17,6.247360882912243e-10,3.017655317359845e-09,1.358121931067879e-20,-1.0,4.2683832119276195e-18,1.6814842956078502e-18,4.527073103559596e-19
5,1.8108292449020298e-20,8.141940992390752e-17,1.3128512025539713e-17,6.247360894912001e-10,3.0176553231560736e-09,1.3581219336765222e-20,-1.0,6.186999920081933e-18,6.654797475014958e-18,4.527073112255073e-19
6,3.6006307294633506e-19,8.587412184249235e-17,1.8569689492581992e-17,6.247361074061392e-10,3.018557427070116e-09,2.373541894059097e-19,-1.0,3.485846396396574e-17,1.1770998673396683e-16,4.527073242073473e-19
7,3.7412765130244426e-19,8.684314347448982e-17,2.0371830299646124e-17,6.247361291891478e-10,3.018604911012079e-09,2.4898903699567475e-19,-1.0,6.971693035878896e-17,2.7644592119357187e-17,4.527073399921361e-19
8,3.73677576070375e-19,8.638600337931792e-17,2.037183047112636e-17,6.24736134447875e-10,3.0186049364212382e-09,2.533867675742003e-19,-1.0,7.815022203590188e-17,7.812435304482743e-18,4.52707343802808e-19
9,3.753910358845795e-19,8.481899416619247e-17,2.0371830605931447e-17,6.247361385818977e-10,3.018604956396041e-09,2.5804318767513174e-19,-1.0,8.476309243876194e-17,1.9807218072283908e-17,4.527073467984766e-19
10,3.802741732031128e-19,8.258740168743317e-17,2.0371830707309613e-17,6.247361416908281e-10,3.0186049714177957e-09,2.5804318895925516e-19,-1.0,8.96360551121623e-17,2.7162440943079487e-18,4.527073490513247e-19
11,3.8027417332935823e-19,8.258740171485098e-17,2.037183071407276e-17,6.247361418982314e-10,3.018604972419928e-09,2.580431890449217e-19,-1.0,9.008876249112177e-17,1.3581220476048507e-18,4.527073492016169e-19
12,3.8027417362632203e-19,8.258740177934517e-17,2.037183072998154e-17,6.247361423861005e-10,3.018604974777218e-09,2.5804318924643284e-19,-1.0,9.088100042319542e-17,3.055774609497231e-18,4.527073495551453e-19
13,3.6895649032589536e-19,8.082599302950115e-17,2.010775146663622e-17,6.2473614312851e-10,3.018604978364398e-09,2.5276160380199377e-19,-1.0,9.205049451893505e-17,3.8480124757915474e-18,4.527073500931232e-19
14,3.576388073199526e-19,7.956784401842389e-17,1.9919123445668247e-17,6.247361444323223e-10,3.0186049846641685e-09,2.489890430708531e-19,-1.0,9.410880413376171e-17,5.704112623077725e-18,4.527073510379147e-19
15,3.5763880829381556e-19,7.95678442350899e-17,1.9919123499908715e-17,6.247361461335006e-10,3.018604992883935e-09,2.48989043748859e-19,-1.0,9.684164777323044e-17,5.507939452626273e-18,4.527073522706526e-19
16,3.6151915811182724e-19,7.745305440749313e-17,1.9919123559649872e-17,6.247361480072005e-10,3.019418770050501e-09,2.412283470048508e-19,-1.0,9.985430771460845e-17,7.91591144058813e-18,4.527073536284061e-19
17,3.6216588409140005e-19,7.710058964950793e-17,1.9919123625026997e-17,6.24736150057665e-10,3.0195544079799356e-09,2.3993489821055243e-19,-1.0,1.0313643636692145e-16,6.402575450901535e-18,4.527073551142499e-19
18,3.6216588540088383e-19,8.328361935338124e-17,1.9919123697048608e-17,6.247361523165245e-10,3.0195544188977436e-09,2.3624176011511597e-19,-1.0,1.0675554273280657e-16,8.60143977827099e-18,4.527073567511047e-19
19,3.634005434495199e-19,8.317551147478467e-17,1.9919123785907996e-17,6.24736155103478e-10,3.0195544323680027e-09,2.420955489062062e-19,-1.0,1.1121167820345015e-16,8.622017423858937e-18,4.527073587706363e-19
