,GPU Util,Power Draw,GPU Clock,Mem Used,Response Time
0,0.0,1.7696253529560554e-17,4.889218166263851e-10,2.2192038120806687e-10,8128572456
1,3.4858314814382014e-19,1.0529927306266568e-16,6.383145959516706e-10,3.082201154545866e-09,5280317649
2,3.4858314934314174e-19,1.0529927342495424e-16,6.38314598147831e-10,3.0822011651503675e-09,8734937890
3,2.218256409998933e-19,2.840273615578226e-17,6.383145996119379e-10,3.082201172220035e-09,1361475752
4,2.218256412743792e-19,2.8402736190927646e-17,6.383146004017851e-10,3.082201176033934e-09,2794903187
5,2.218256416502432e-19,2.8402736239053585e-17,6.383146014833527e-10,3.082201181256452e-09,3919258140
6,2.218256418869513e-19,2.8402736269361886e-17,6.383146021644927e-10,3.0822011845454413e-09,756017183
7,2.2182564203758384e-19,2.8402736288649e-17,6.383146025979452e-10,3.0822011866384357e-09,1006696010
8,2.218256421882163e-19,2.8402736307936105e-17,6.38314603031398e-10,3.082201188731429e-09,862559799
9,2.218256423388488e-19,2.840273632722322e-17,6.383146034648507e-10,3.082201190824423e-09,2222955005
10,3.531102064917549e-19,1.0049607017833931e-16,6.383146040427875e-10,3.082201193615081e-09,742409402
11,3.5311020670489468e-19,1.0049607023899945e-16,6.383146044280788e-10,3.0822011954755197e-09,1566610263
12,3.531102069713196e-19,1.0049607031482464e-16,6.383146049096931e-10,3.082201197801068e-09,1108569530
13,3.5311020718445937e-19,1.004960703754848e-16,6.383146052949843e-10,3.082201199661507e-09,1134151538
14,3.5311020745088424e-19,1.0049607045131001e-16,6.383146057765983e-10,3.0822012019870557e-09,1020455215
15,3.5311020795709143e-19,1.0049607059537784e-16,6.383146066916651e-10,3.082201206405597e-09,3905303605
16,3.53110208489941e-19,1.0049607074702819e-16,6.383146076548932e-10,3.082201211056694e-09,2199016650
17,0.0,2.995098899339295e-17,6.383146082328304e-10,3.082201213847353e-09,1419990925
18,0.0,2.9950989022770727e-17,6.383146088589286e-10,3.082201216870566e-09,1518528836
19,0.0,2.9950989061187815e-17,6.383146096776726e-10,3.082201220823999e-09,2948544927
20,0.0,2.9950989101864744e-17,6.383146105445782e-10,3.082201225009986e-09,1807409173
21,0.0,2.9950989147626275e-17,6.383146115198468e-10,3.082201229719222e-09,4083565646
22,0.0,2.995098918321859e-17,6.38314612278389e-10,3.082201233381961e-09,668772340
