Prompt,GPU Util,Power Draw,GPU Temp,GPU Clock,Mem Clock,Mem Used,Mem Util,Time,Time Delta,Iter
Prompt 0,0.0,39.09,28.0,1080000000.0,1215000000.0,4194304.0,0.0,-2208942136000000000,1,1
Prompt 0,0.0,39.09,28.0,1080000000.0,1215000000.0,4194304.0,0.0,-2208942135000000000,2,2
Prompt 0,0.0,39.09,28.0,1080000000.0,1215000000.0,4194304.0,0.0,-2208942135000000000,2,3
Prompt 0,0.0,39.09,28.0,1080000000.0,1215000000.0,4194304.0,0.0,-2208942134000000000,3,4
Prompt 0,0.0,39.09,28.0,1080000000.0,1215000000.0,4194304.0,0.0,-2208942134000000000,3,5
Prompt 0,0.0,39.09,28.0,1080000000.0,1215000000.0,4194304.0,0.0,-2208942133000000000,4,6
Prompt 0,0.0,39.09,28.0,1080000000.0,1215000000.0,4194304.0,0.0,-2208942132000000000,5,7
Prompt 0,0.0,39.09,28.0,1080000000.0,1215000000.0,4194304.0,0.0,-2208942132000000000,5,8
Prompt 0,0.0,39.09,28.0,1080000000.0,1215000000.0,4194304.0,0.0,-2208942131000000000,6,9
Prompt 0,0.0,39.09,28.0,1080000000.0,1215000000.0,4194304.0,0.0,-2208942130000000000,6,10
Prompt 0,0.0,39.09,28.0,1080000000.0,1215000000.0,4194304.0,0.0,-2208942130000000000,7,11
Prompt 0,0.0,39.09,28.0,1080000000.0,1215000000.0,4194304.0,0.0,-2208942129000000000,8,12
Prompt 0,0.0,39.09,28.0,1080000000.0,1215000000.0,4194304.0,0.0,-2208942129000000000,8,13
Prompt 0,0.0,39.09,28.0,1080000000.0,1215000000.0,6808403968.0,0.4,-2208942128000000000,9,14
,,,,,,,,-2208942128000000000,,
Prompt 1,0.77,232.6,38.0,1410000000.0,1215000000.0,6808403968.0,0.4,-2208942128000000000,9,1
Prompt 1,0.77,232.6,38.0,1410000000.0,1215000000.0,6808403968.0,0.4,-2208942127000000000,10,2
Prompt 1,0.77,232.6,38.0,1410000000.0,1215000000.0,6808403968.0,0.4,-2208942126000000000,11,3
Prompt 1,0.77,232.6,38.0,1410000000.0,1215000000.0,6808403968.0,0.4,-2208942126000000000,11,4
Prompt 1,0.77,232.6,38.0,1410000000.0,1215000000.0,6808403968.0,0.4,-2208942125000000000,12,5
Prompt 1,0.77,232.6,38.0,1410000000.0,1215000000.0,6808403968.0,0.4,-2208942125000000000,12,6
Prompt 1,0.77,232.6,38.0,1410000000.0,1215000000.0,6808403968.0,0.4,-2208942124000000000,13,7
Prompt 1,0.77,232.6,38.0,1410000000.0,1215000000.0,6808403968.0,0.4,-2208942124000000000,13,8
Prompt 1,0.77,232.6,38.0,1410000000.0,1215000000.0,6808403968.0,0.4,-2208942123000000000,14,9
Prompt 1,0.77,232.6,38.0,1410000000.0,1215000000.0,6808403968.0,0.4,-2208942122000000000,15,10
,,,,,,,,-2208942123000000000,,
Prompt 2,0.77,232.6,38.0,1410000000.0,1215000000.0,6808403968.0,0.4,-2208942122000000000,15,1
Prompt 2,0.77,232.6,38.0,1410000000.0,1215000000.0,6808403968.0,0.4,-2208942121000000000,16,2
Prompt 2,0.77,232.6,38.0,1410000000.0,1215000000.0,6808403968.0,0.4,-2208942120000000000,16,3
Prompt 2,0.77,232.6,38.0,1410000000.0,1215000000.0,6808403968.0,0.4,-2208942120000000000,17,4
Prompt 2,0.77,232.6,38.0,1410000000.0,1215000000.0,6808403968.0,0.4,-2208942119000000000,18,5
Prompt 2,0.77,232.6,38.0,1410000000.0,1215000000.0,6808403968.0,0.4,-2208942119000000000,18,6
Prompt 2,0.77,232.6,38.0,1410000000.0,1215000000.0,6808403968.0,0.4,-2208942118000000000,19,7
