,0,1,2,3,4,5,6,7,8,9,10
0,0.0,1.7696253529560554e-17,1.2675750801424797e-17,4.889218166263851e-10,2.219203812080669e-10,1.293443959329061e-20,-1.0,2.2311908298426302e-18,3.395290393238785e-18,3.4675306143715245e-19,4.527053857651714e-19
1,3.4858314814382014e-19,1.0529927306266568e-16,1.7202804713591126e-17,6.383145959516707e-10,3.0822011545458665e-09,1.810821548799066e-19,-1.0,5.432464646397198e-18,2.4898796295987157e-18,4.527053871997665e-19,4.527053871997665e-19
2,3.485831493431417e-19,1.0529927342495424e-16,1.7202804772778426e-17,6.38314598147831e-10,3.0822011651503675e-09,1.7655510161535754e-19,-1.0,8.842845260393121e-18,3.6216431100586155e-18,4.527053887573269e-19,4.527053887573269e-19
3,2.218256409998933e-19,2.840273615578226e-17,1.8560920981623727e-17,6.383145996119379e-10,3.082201172220035e-09,1.1317634744892516e-19,-1.0,1.116673294829395e-17,9.054107795914013e-19,4.527053897957006e-19,4.527053897957006e-19
4,2.218256412743792e-19,2.840273619092765e-17,1.8560921004590913e-17,6.383146004017851e-10,3.0822011760339343e-09,1.1317634758896899e-19,-1.0,1.2404127695750999e-17,1.3581161710676277e-18,4.527053903558759e-19,4.527053903558759e-19
5,2.2182564165024316e-19,2.8402736239053585e-17,1.856092103604075e-17,6.383146014833527e-10,3.082201181256452e-09,1.1317634778073629e-19,-1.0,1.40338671248113e-17,1.8108215644917806e-18,4.527053911229451e-19,4.527053911229451e-19
6,2.218256418869513e-19,2.840273626936189e-17,1.856092105584695e-17,6.383146021644927e-10,3.0822011845454417e-09,1.131763479015058e-19,-1.0,1.5165630618801775e-17,6.790580874090347e-19,4.527053916060232e-19,4.527053916060232e-19
7,2.2182564203758384e-19,2.8402736288649e-17,1.8560921068450892e-17,6.383146025979453e-10,3.0822011866384357e-09,1.131763479783591e-19,-1.0,1.5844688716970273e-17,6.790580878701546e-19,4.527053919134364e-19,4.527053919134364e-19
8,2.218256421882163e-19,2.8402736307936105e-17,1.8560921081054837e-17,6.38314603031398e-10,3.0822011887314293e-09,1.131763480552124e-19,-1.0,1.652374681606101e-17,6.790580883312745e-19,4.527053922208496e-19,4.527053922208496e-19
9,2.218256423388488e-19,2.840273632722322e-17,1.9466331878715307e-17,6.383146034648507e-10,3.082201190824423e-09,1.3128456383319624e-19,-1.0,1.720280491607399e-17,1.1317634813206573e-18,4.527053925282629e-19,4.527053925282629e-19
10,3.531102064917549e-19,1.0049607017833931e-16,2.2182564253969217e-17,6.383146040427876e-10,3.082201193615081e-09,1.8560921110464038e-19,-1.0,1.810821571752589e-17,6.790580894072209e-19,4.527053929381473e-19,4.527053929381473e-19
11,3.5311020670489468e-19,1.0049607023899946e-16,2.218256426735877e-17,6.383146044280789e-10,3.0822011954755197e-09,1.856092112166754e-19,-1.0,1.8711822919404678e-17,9.054107864228069e-19,4.527053932114034e-19,4.527053932114034e-19
12,3.5311020697131954e-19,1.0049607031482465e-16,2.2182564284095716e-17,6.383146049096931e-10,3.0822011978010685e-09,1.8560921135671923e-19,-1.0,1.9239979226001385e-17,6.790580903294607e-19,4.527053935529738e-19,4.527053935529738e-19
13,3.5311020718445937e-19,1.004960703754848e-16,2.2182564297485268e-17,6.383146052949843e-10,3.082201199661507e-09,1.8560921146875429e-19,-1.0,2.00699391262962e-17,9.0541078765246e-19,4.5270539382623e-19,4.5270539382623e-19
14,3.5311020745088424e-19,1.0049607045131e-16,2.2182564314222216e-17,6.383146057765984e-10,3.0822012019870557e-09,1.8560921160879811e-19,-1.0,2.0824448131718814e-17,6.790580912517004e-19,4.527053941678003e-19,4.527053941678003e-19
15,3.531102079570914e-19,1.0049607059537783e-16,2.2182564346022404e-17,6.383146066916651e-10,3.0822012064055973e-09,1.8560921187488134e-19,-1.0,2.2182564346022404e-17,1.5844688818587432e-18,4.527053948167837e-19,4.527053948167837e-19
16,3.53110208489941e-19,1.0049607074702821e-16,2.2182564379496296e-17,6.383146076548933e-10,3.0822012110566945e-09,1.3920690911622674e-19,-1.0,2.376703326374603e-17,1.131763488749811e-18,4.527053954999244e-19,4.527053954999244e-19
17,0.0,2.995098899339295e-17,2.1277153607761013e-17,6.383146082328304e-10,3.0822012138473533e-09,0.0,-1.0,2.467244407708458e-17,6.790580938647132e-19,4.527053959098088e-19,4.527053959098088e-19
18,0.0,2.9950989022770727e-17,2.127715362863096e-17,6.383146088589287e-10,3.0822012168705665e-09,0.0,-1.0,2.5653305793384842e-17,9.054107927077004e-19,4.527053963538502e-19,4.527053963538502e-19
19,0.0,2.9950989061187815e-17,2.1277153655922425e-17,6.383146096776727e-10,3.082201220823999e-09,0.0,-1.0,2.693597111760392e-17,1.5844688892708188e-18,4.527053969345196e-19,4.527053969345196e-19
20,0.0,2.9950989101864744e-17,2.1277153684819272e-17,6.383146105445782e-10,3.082201225009986e-09,0.0,-1.0,2.81809109974468e-17,1.1317634938733654e-18,4.527053975493462e-19,4.527053975493462e-19
21,0.0,2.995098914762628e-17,2.1277153717328224e-17,6.383146115198468e-10,3.082201229719222e-09,0.0,-1.0,2.982196810912759e-17,2.0371742920846173e-18,4.52705398241026e-19,4.52705398241026e-19
22,0.0,2.995098918321859e-17,2.2408917239560464e-17,6.38314612278389e-10,3.082201233381961e-09,8.601402576800986e-20,-1.0,3.101031981636145e-17,6.790580981684989e-19,4.527053987789992e-19,4.527053987789992e-19
23,3.2142083342410736e-19,3.1730121429148854e-17,2.3540680757821947e-17,6.383146128563259e-10,3.0822012361726193e-09,1.7202805169177577e-19,-1.0,3.1802554293019075e-17,1.131763497972209e-18,4.527053991888836e-19,4.527053991888836e-19
24,3.214208336423708e-19,3.173012145069545e-17,2.3540680773807437e-17,6.383146132897786e-10,3.082201238265613e-09,1.720280518085928e-19,-1.0,3.2594788763733376e-17,6.790580992444453e-19,4.527053994962969e-19,4.527053994962969e-19
25,3.214208338848857e-19,3.1730121474636114e-17,2.3540680791569096e-17,6.383146137713928e-10,3.0822012405911617e-09,1.7202805193838955e-19,-1.0,3.334929778805622e-17,9.054107996757344e-19,4.527053998378672e-19,4.527053998378672e-19
26,3.2142083407889763e-19,3.173012149378864e-17,2.354068080577842e-17,6.38314614156684e-10,3.0822012424516005e-09,1.720280520422269e-19,-1.0,3.3952905008334257e-17,6.790581001666851e-19,4.5270540011112345e-19,4.5270540011112345e-19
27,3.21420834297161e-19,3.1730121515335236e-17,2.354068082176391e-17,6.383146145901367e-10,3.082201244544594e-09,1.7202805215904395e-19,-1.0,3.463196313201806e-17,1.1317635010463417e-18,4.527054004185367e-19,4.527054004185367e-19
28,3.214208346609334e-19,3.173012155124623e-17,2.3540680848406392e-17,6.383146153125579e-10,3.082201248032917e-09,1.7202805235373903e-19,-1.0,3.5650550323307755e-17,1.1317635023272303e-18,4.527054009308922e-19,4.527054009308922e-19
29,3.214208349519513e-19,3.173012157997503e-17,2.3540680869720378e-17,6.383146158904949e-10,3.0822012508235753e-09,1.720280525094951e-19,-1.0,3.66691375086029e-17,9.05410802681553e-19,4.527054013407765e-19,4.527054013407765e-19
30,3.412266968012734e-19,8.095051646901453e-17,2.4955385288451337e-17,6.340705037575901e-10,3.0822012557072273e-09,1.776868703077941e-19,-1.0,3.819701829865001e-17,2.0371743092613336e-18,4.496953927358796e-19,4.5270540205807415e-19
31,3.5311021408486255e-19,1.1048275352232141e-16,2.580420795235534e-17,6.315240367286964e-10,3.082201259893215e-09,1.8108216106916029e-19,-1.0,3.961172273387881e-17,6.79058104009351e-19,4.478893877508486e-19,4.527054026729007e-19
32,3.5311021424471743e-19,1.1048275357233755e-16,2.5804207964037042e-17,6.315240370145908e-10,3.082201261288544e-09,1.8108216115113716e-19,-1.0,4.006442815468909e-17,6.790581043167643e-19,4.478893879536105e-19,4.527054028778429e-19
33,3.531102144844998e-19,1.104827536473618e-16,2.5804207981559602e-17,6.315240374434324e-10,3.082201263381538e-09,1.8108216127410251e-19,-1.0,4.059258448561131e-17,9.054108063705123e-19,4.478893882577535e-19,4.527054031852561e-19
34,3.5311021472428217e-19,1.1048275372238597e-16,2.5804207999082157e-17,6.315240378722738e-10,3.0822012654745313e-09,1.8108216139706777e-19,-1.0,4.142254441957925e-17,6.790581052390041e-19,4.478893885618963e-19,4.527054034926694e-19
35,3.531102149640645e-19,1.1048275379741018e-16,2.5804208016604714e-17,6.315240383011154e-10,3.0822012675675253e-09,1.8108216152003308e-19,-1.0,4.2101602553407686e-17,4.527054038000827e-19,4.478893888660393e-19,4.527054038000827e-19
36,3.531102150706344e-19,1.1048275383075429e-16,2.5804208024392515e-17,6.315240384917115e-10,3.082201268497745e-09,1.8108216157468437e-19,-1.0,4.240340616873858e-17,9.054108078734217e-19,4.478893890012139e-19,4.527054039367109e-19
37,3.531102152837743e-19,1.1048275389744246e-16,2.580420803996812e-17,6.31524038872904e-10,3.0822012703581837e-09,1.8108216168398682e-19,-1.0,4.300701339994687e-17,4.52705404209967e-19,4.478893892715632e-19,4.52705404209967e-19
