Prompt,GPU Util,Power Draw,GPU Temp,GPU Clock,Mem Clock,Mem Used,Mem Util,Time,Time Delta,Iter
Prompt 0,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932750000000000,1,1
Prompt 0,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932750000000000,1,2
Prompt 0,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932749000000000,1,3
Prompt 0,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932749000000000,1,4
Prompt 0,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932749000000000,2,5
Prompt 0,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932749000000000,2,6
Prompt 0,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932749000000000,2,7
Prompt 0,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932748000000000,2,8
Prompt 0,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932748000000000,2,9
Prompt 0,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932748000000000,3,10
Prompt 0,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932748000000000,3,11
Prompt 0,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932747000000000,3,12
,,,,,,,,-2208932748000000000,,
Prompt 1,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932747000000000,3,1
Prompt 1,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932747000000000,4,2
Prompt 1,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932747000000000,4,3
,,,,,,,,-2208932747000000000,,
Prompt 2,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932747000000000,4,1
Prompt 2,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932746000000000,4,2
Prompt 2,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932746000000000,4,3
Prompt 2,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932746000000000,5,4
Prompt 2,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932746000000000,5,5
Prompt 2,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932745000000000,5,6
Prompt 2,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932745000000000,5,7
Prompt 2,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932745000000000,6,8
Prompt 2,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932745000000000,6,9
Prompt 2,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932745000000000,6,10
Prompt 2,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932744000000000,6,11
Prompt 2,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932744000000000,6,12
Prompt 2,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932744000000000,7,13
,,,,,,,,-2208932744000000000,,
Prompt 3,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932744000000000,7,1
Prompt 3,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932744000000000,7,2
Prompt 3,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932743000000000,7,3
Prompt 3,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932743000000000,7,4
Prompt 3,0.0,23.74,22.0,135000000.0,877000000.0,9437184.0,0.0,-2208932743000000000,8,5
,,,,,,,,-2208932743000000000,,
Prompt 4,0.0,23.74,22.0,135000000.0,877000000.0,6665797632.0,0.03,-2208932743000000000,8,1
Prompt 4,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932742000000000,8,2
Prompt 4,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932742000000000,8,3
Prompt 4,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932742000000000,9,4
Prompt 4,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932742000000000,9,5
Prompt 4,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932742000000000,9,6
,,,,,,,,-2208932742000000000,,
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932741000000000,9,1
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932741000000000,9,2
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932741000000000,10,3
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932741000000000,10,4
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932740000000000,10,5
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932740000000000,10,6
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932740000000000,11,7
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932740000000000,11,8
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932739000000000,11,9
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932739000000000,11,10
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932739000000000,12,11
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932739000000000,12,12
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932739000000000,12,13
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932738000000000,12,14
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932738000000000,12,15
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932738000000000,13,16
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932738000000000,13,17
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932737000000000,13,18
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932737000000000,13,19
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932737000000000,14,20
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932737000000000,14,21
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932737000000000,14,22
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932736000000000,14,23
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932736000000000,14,24
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932736000000000,15,25
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932736000000000,15,26
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932735000000000,15,27
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932735000000000,15,28
Prompt 5,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932735000000000,16,29
,,,,,,,,-2208932735000000000,,
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932735000000000,16,1
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932735000000000,16,2
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932734000000000,16,3
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932734000000000,16,4
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932734000000000,17,5
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932734000000000,17,6
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932734000000000,17,7
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932733000000000,17,8
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932733000000000,17,9
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932733000000000,18,10
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932733000000000,18,11
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932732000000000,18,12
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932732000000000,18,13
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932732000000000,19,14
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932732000000000,19,15
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932731000000000,19,16
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932731000000000,19,17
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932731000000000,20,18
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932731000000000,20,19
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932730000000000,20,20
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932730000000000,20,21
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932730000000000,21,22
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932730000000000,21,23
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932730000000000,21,24
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932729000000000,21,25
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932729000000000,21,26
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932729000000000,22,27
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932729000000000,22,28
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932728000000000,22,29
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932728000000000,22,30
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932728000000000,23,31
Prompt 6,0.04,179.85,29.0,1380000000.0,877000000.0,6665797632.0,0.03,-2208932728000000000,23,32
Prompt 6,0.04,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932728000000000,23,33
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932727000000000,23,34
