GPU Util,Power Draw,GPU Temp,GPU Clock,Mem Used,Mem Util,Time,Time Delta,Iter
0.0,1.0747271511244373e-17,9.959560793908013e-18,6.111548668989007e-11,4.272282171422545e-12,0.0,-1.0,8.676890085601677e-19,2.9425975072910035e-18
0.0,1.0747271519353324e-17,9.959560801422626e-18,6.111548673600248e-11,4.2722821746460355e-12,0.0,-1.0,1.6599268002371043e-18,9.054146183111478e-19
0.0,1.0747271527961283e-17,9.959560809399672e-18,6.111548678495253e-11,4.272282178067893e-12,0.0,-1.0,2.402831104365655e-18,3.1689511666271685e-18
0.0,1.0747271536868648e-17,9.95956081765418e-18,6.11154868356052e-11,4.272282181608771e-12,0.0,-1.0,3.2594926312322775e-18,1.3581219296801155e-18
1.509024367153787e-20,6.96407200319637e-17,1.2600353465734121e-17,5.307993211463446e-10,3.0176553159612037e-09,1.3581219304384083e-20,-1.0,3.848012136242157e-18,1.5844755855114763e-18
1.8108292439154718e-20,8.141940987954942e-17,1.3128512018387168e-17,6.247360891508377e-10,3.017655321512025e-09,1.3581219329366037e-20,-1.0,5.619814894910084e-18,6.7906096646830185e-18
3.5578442702829413e-19,8.578280562547205e-17,1.8482647088875338e-17,6.247361069701809e-10,3.01854637928078e-09,2.346155706067364e-19,-1.0,3.4161120542646223e-17,1.1793025787371894e-16
3.7463387713032103e-19,8.700638021250087e-17,2.0371830283730806e-17,6.247361287010781e-10,3.0186049086538194e-09,2.489890368011542e-19,-1.0,6.893767996560125e-17,2.7841501387765437e-17
3.748150504858941e-19,8.622903178517612e-17,2.0371830452696904e-17,6.24736133882705e-10,3.0186049336904454e-09,2.5111942636461675e-19,-1.0,7.723986173600963e-17,7.92237850938213e-18
3.7440955302894094e-19,8.526753157096935e-17,2.0371830585251523e-17,6.247361379477133e-10,3.0186049533317845e-09,2.58043187413186e-19,-1.0,8.375085907270071e-17,2.014547691208206e-17
3.8027417274403836e-19,8.258740158773205e-17,2.037183068271634e-17,6.247361409366344e-10,3.0186049677736764e-09,2.5804318864774033e-19,-1.0,8.850428663268987e-17,6.790610227572113e-19
3.80274172873153e-19,8.258740161577299e-17,2.0371830689633197e-17,6.247361411487513e-10,3.018604968798585e-09,2.5804318873535387e-19,-1.0,8.884381717423366e-17,1.1317683716462887e-18
3.8027417311293743e-19,8.258740166784905e-17,2.0371830702478792e-17,6.24736141542683e-10,3.0186049707019867e-09,2.580431888980648e-19,-1.0,8.944203765564499e-17,1.8108293957758928e-18
3.802741734639505e-19,8.258740174408156e-17,2.0371830721283064e-17,6.247361421193473e-10,3.0186049734883177e-09,2.580431891362522e-19,-1.0,9.045915944521246e-17,2.7162440961710752e-18
3.6518392924044074e-19,8.044854831278063e-17,2.0051163056951885e-17,6.247361434113326e-10,3.0186049797309423e-09,2.516298355406756e-19,-1.0,9.248433910464261e-17,5.658841878725838e-18
3.576388076840293e-19,7.956784409942407e-17,1.991912346594594e-17,6.247361450683045e-10,3.018604987737112e-09,2.4898904332432437e-19,-1.0,9.512759259972009e-17,5.432488217985257e-18
3.5936974865940877e-19,7.862448210953396e-17,1.9919123527027617e-17,6.247361469840481e-10,3.0189680013964634e-09,2.455271643304742e-19,-1.0,9.821086573218965e-17,7.922378675522349e-18
3.6216588340066287e-19,7.710058950245861e-17,1.9919123587036454e-17,6.247361488661434e-10,3.0195544022209214e-09,2.399348977529391e-19,-1.0,1.0123877796172231e-16,6.337902959511599e-18
3.621658846663509e-19,7.942897382096201e-17,1.9919123656649297e-17,6.247361510494552e-10,3.019554412773583e-09,2.3846665851848574e-19,-1.0,1.0472222320470597e-16,8.601439760825832e-18
3.6216588625046045e-19,8.493242739931113e-17,1.991912374377533e-17,6.247361537820445e-10,3.0195544259810814e-09,2.3540782606279936e-19,-1.0,1.0910247323295124e-16,9.959561871887665e-18
3.6216588716555917e-19,8.493242761391319e-17,1.9919123794105752e-17,6.247361553605895e-10,3.0195544336107067e-09,2.3540782665761344e-19,-1.0,1.1170554082262714e-16,1.1317683973923723e-18
3.644294242078137e-19,8.171141481042153e-17,1.9919123807632054e-17,6.247361557848235e-10,3.0195544356611683e-09,2.495549317944811e-19,-1.0,1.1227142509756248e-16,2.0371831166896417e-18
3.666929615205943e-19,7.849040205980326e-17,1.9919123835686604e-17,6.247361566647162e-10,3.019554439913978e-09,2.580431951441219e-19,-1.0,1.1373014897092782e-16,4.300719919068698e-18
3.666929623952542e-19,7.849040224702367e-17,1.9919123883198994e-17,6.247361581548775e-10,3.0195544471164155e-09,2.5804319575962333e-19,-1.0,1.160741673557323e-16,5.885195692763339e-18
3.6669296372573734e-19,8.35283206767231e-17,1.9919123955472156e-17,6.247361604216267e-10,3.019554458072357e-09,2.5208652087188457e-19,-1.0,1.197291840624971e-16,8.82779357117516e-18
3.678469254537035e-19,8.604244941918001e-17,1.9919124052077954e-17,6.247361634515359e-10,3.0195544727169e-09,2.502317767504802e-19,-1.0,1.24565538245459e-16,1.1770391485318792e-17
3.729314964455299e-19,8.49979614627797e-17,1.9919124192086923e-17,6.247361678427263e-10,3.0195544939409613e-09,2.535161260811064e-19,-1.0,1.315887819064279e-16,1.8787355772081986e-17
3.739518992894969e-19,8.578258315093628e-17,1.99191243370235e-17,6.247361723884643e-10,3.019554515912002e-09,2.5351612792575367e-19,-1.0,1.3886408349529196e-16,1.3354867453231664e-17
3.7122004724704754e-19,8.516631051332633e-17,2.0151137015956344e-17,6.247361770742995e-10,3.019554538560178e-09,2.5351612982725203e-19,-1.0,1.4639424729087073e-16,1.8334648675006616e-17
3.7404947116192524e-19,8.529492047178458e-17,2.0080805843229354e-17,6.247361817893577e-10,3.0195545613495985e-09,2.506058700241989e-19,-1.0,1.5392050855679828e-16,1.2902160276084561e-17
3.757471249446165e-19,8.603703746472815e-17,1.9919124695859185e-17,6.247361836428563e-10,3.019554570308164e-09,2.4898905869823984e-19,-1.0,1.5708946066961677e-16,4.527073794513451e-19
3.7574712514874064e-19,8.603703751146766e-17,1.9919124706680225e-17,6.247361839822434e-10,3.0195545719485334e-09,2.4898905883350286e-19,-1.0,1.5745162665871325e-16,1.3581221390918334e-18
3.757471253698753e-19,8.603703756210217e-17,1.9919124718403024e-17,6.247361843499131e-10,3.019554573725601e-09,2.489890589800378e-19,-1.0,1.5788169876234215e-16,1.1317684499092629e-18
3.7574712565338104e-19,8.603703762701814e-17,1.9919124733432245e-17,6.24736184821284e-10,3.0195545760038914e-09,2.4898905916790303e-19,-1.0,1.5874938802705094e-16,1.584475831068474e-18
