GPU Utilization (%),Power Draw (Watts),GPU Current Clock (MHz),Memory Allocation Used (MB),Response Time,GPU Utilization (%) Weight,Power Draw (Watts) Weight,GPU Current Clock (MHz) Weight,Memory Allocation Used (MB) Weight,Linear Combination
0.0,1.0747271511868139e-17,6.111548669343718e-11,4.272282171670505e-12,2.606602931,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,2.9067665077592535
0.0,1.0747271520569666e-17,6.111548674291933e-11,4.272282175129559e-12,0.522210414,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,2.906766510112717
0.0,1.0747271530474169e-17,6.111548679924231e-11,4.27228217906682e-12,2.582972253,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,2.9067665127915445
9.05414620155643e-21,4.608334062937184e-17,3.429257873839498e-10,2.013194304398338e-09,0.955865074,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,3.096298524509996
1.8108292414238382e-20,8.141940976751932e-17,6.247360882912243e-10,3.017655317359845e-09,1.14516614,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,3.678873533696087
1.8108292449020292e-20,8.141940992390752e-17,6.247360894912001e-10,3.0176553231560724e-09,6.386830812,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,3.6788735407623974
3.6006307294633506e-19,8.587412184249235e-17,6.24736107406139e-10,3.018557427070116e-09,122.640793729,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,10.442791263857425
3.7412765130244426e-19,8.684314347448981e-17,6.247361291891476e-10,3.018604911012079e-09,27.975641723,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,11.412297442180204
3.73677576070375e-19,8.638600337931791e-17,6.24736134447875e-10,3.0186049364212382e-09,7.853273721,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,11.006379694051901
3.753910358845795e-19,8.481899416619245e-17,6.247361385818975e-10,3.018604956396041e-09,20.550966785,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,9.642048068647586
3.802741732031128e-19,8.258740168743316e-17,6.24736141690828e-10,3.0186049714177957e-09,0.433608733,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,7.719417585002045
3.802741733293583e-19,8.258740171485097e-17,6.247361418982314e-10,3.018604972419928e-09,0.652938889,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,7.7194175875647675
3.8027417362632203e-19,8.258740177934517e-17,6.247361423861003e-10,3.018604974777218e-09,1.475372556,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,7.719417593593067
3.6895649032589536e-19,8.082599302950115e-17,6.2473614312851e-10,3.018604978364398e-09,2.521371272,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,6.075637344729868
3.576388073199526e-19,7.956784401842389e-17,6.247361444323221e-10,3.018604984664168e-09,5.908727855,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,4.874603493072585
3.576388082938156e-19,7.956784423508991e-17,6.247361461335004e-10,3.018604992883935e-09,5.411088269,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,4.874603506346297
3.615191581118272e-19,7.745305440749313e-17,6.247361480072005e-10,3.019418770050501e-09,7.606308259,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,3.0460691110655573
3.621658840914001e-19,7.710058964950793e-17,6.24736150057665e-10,3.0195544079799356e-09,5.949438376,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,2.741313385079456
3.6216588540088383e-19,8.328361935338124e-17,6.247361523165243e-10,3.0195544188977436e-09,8.780840177,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,8.18087899927775
3.6340054344952003e-19,8.317551147478467e-17,6.24736155103478e-10,3.0195544323680027e-09,10.132839782,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,8.096042866625282
3.666929615519508e-19,7.849040206651506e-17,6.247361567181383e-10,3.019554440172184e-09,0.888768939,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,4.0016775344928295
3.66692961861826e-19,7.849040213284368e-17,6.247361572460736e-10,3.019554442723869e-09,1.70584645,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,4.001677537874508
3.666929624326489e-19,7.849040225502797e-17,6.247361582185865e-10,3.0195544474243434e-09,4.257368292,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,4.001677544103855
3.6669296339204783e-19,8.155836543045694e-17,6.247361598531186e-10,3.019554455324571e-09,6.242879646,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,6.700740538079802
